lane,file,line,ctx,start,end,call,op,tables,sql,norm,params
async,polylogue/storage/sqlite/async_sqlite.py,75,_attach_sibling_tiers,73,98,execute,PRAGMA,,"""PRAGMA database_list""",PRAGMA database_list,
async,polylogue/storage/sqlite/async_sqlite.py,318,_bulk_connection,313,330,execute,TXN,,"""BEGIN IMMEDIATE""",BEGIN IMMEDIATE,
async,polylogue/storage/sqlite/async_sqlite.py,55,_apply_pragma_statements_async,53,55,execute,DYNAMIC/OTHER,,statement,statement,
async,polylogue/storage/sqlite/async_sqlite.py,128,_read_schema_ready,121,134,execute,PRAGMA,,"""PRAGMA user_version""",PRAGMA user_version,
async,polylogue/storage/sqlite/async_sqlite.py,133,_read_schema_ready,121,134,execute,SELECT,sqlite_master,"""SELECT 1 FROM sqlite_master WHERE type='table' AND name='sessions'""",SELECT 1 FROM sqlite_master WHERE type='table' AND name='sessions',
async,polylogue/storage/sqlite/async_sqlite.py,244,_backend_begin,236,247,execute,TXN,,"""BEGIN IMMEDIATE""",BEGIN IMMEDIATE,
async,polylogue/storage/sqlite/async_sqlite.py,246,_backend_begin,236,247,execute,DYNAMIC/OTHER,,"f""SAVEPOINT sp_{backend._transaction_depth}""","f""SAVEPOINT sp_{backend._transaction_depth}""",
async,polylogue/storage/sqlite/async_sqlite.py,264,_backend_commit,250,264,execute,DYNAMIC/OTHER,,"f""RELEASE SAVEPOINT sp_{backend._transaction_depth}""","f""RELEASE SAVEPOINT sp_{backend._transaction_depth}""",
async,polylogue/storage/sqlite/async_sqlite.py,281,_backend_rollback,267,281,execute,DYNAMIC/OTHER,,"f""ROLLBACK TO SAVEPOINT sp_{backend._transaction_depth}""","f""ROLLBACK TO SAVEPOINT sp_{backend._transaction_depth}""",
async,polylogue/storage/sqlite/async_sqlite.py,337,_bulk_flush,333,337,execute,TXN,,"""BEGIN IMMEDIATE""",BEGIN IMMEDIATE,
async,polylogue/storage/sqlite/async_sqlite.py,98,_attach_sibling_tiers,73,98,execute,DYNAMIC/OTHER,,"f""ATTACH DATABASE ? AS {schema_name}""","f""ATTACH DATABASE ? AS {schema_name}""","(str(sibling),)"
async,polylogue/storage/sqlite/async_sqlite.py,211,_backend_transaction,200,233,execute,DYNAMIC/OTHER,,"f""SAVEPOINT {sp_name}""","f""SAVEPOINT {sp_name}""",
async,polylogue/storage/sqlite/async_sqlite.py,213,_backend_transaction,200,233,execute,DYNAMIC/OTHER,,"f""RELEASE SAVEPOINT {sp_name}""","f""RELEASE SAVEPOINT {sp_name}""",
