order,wave,id,priority,type,status,parents,hard_prerequisites,title,intent,done_when
1,0,polylogue-s7ae.6,1,task,in_progress,polylogue-s7ae,,Classify the 74%-aborted full verify from the coordination commit before deploy,"Commit 32ff31651 (coordination substrate, ~1376 LOC) merged with only verify --quick + focused tests green; the full devtools verify was aborted at 74% with scattered unclassified failures.",A full devtools verify run is recorded; every failure classified (coordination-caused fixed; pre-existing referenced); s7ae deploy-clean.
2,0,polylogue-8jg9.4,1,bug,open,polylogue-8jg9,,ops doctor cleanup_orphans can delete an in-flight leased blob (the real #818),"run_blob_gc is lease/ref/generation-safe, but the ops-doctor path (BlobStore.detect_orphans/cleanup_orphans) compares disk against caller-supplied ids only — VERIFIED LIVE 2026-07-06: blob_store.py contains zero references to pending_blob_refs/blob_refs/gc_generations.",A leased-uncommitted blob survives ops doctor cleanup in a fixture race; doctor path either delegates to run_blob_gc or applies all three invariants; 8jg9.2 test extended to the doctor path.
3,0,polylogue-9e5.28,1,bug,open,polylogue-9e5,,"Rigor audit iterates contracts, not the registry: uncovered number-bearing products vanish from audit","_RIGOR_MATRIX covers ~5 of 11 number-bearing insight products; audit.py iterates declared contracts, so a product with NO contract silently disappears from the audit instead of showing as uncovered — cost/coverage/tool/debt surfaces escape entirely.","One audit row per registered product or a justified exemption; monkeypatching a contract out yields uncovered, not omission; policy gate fails on uncovered number products."
4,0,polylogue-9e5.29,1,bug,open,polylogue-9e5,,Number-over-empty gates: quantitative fields need field-level evidence contracts,"Products can emit 0.0 (a number) when backing rows are empty/NULL — a rendered zero is a claim, and absent evidence must render as None/uncovered, never zero.","Property tests generate all-NULL rows and assert None/uncovered, never 0.0; every number-bearing contract declares denominator+provenance; a rendered insight cannot carry a quantitative claim over empty backing rows."
5,0,polylogue-9e5.30,1,bug,open,polylogue-9e5,,Prose-mined forensic fields must carry text_derived provenance in the payload model,"transforms.py mines commit SHAs / decisions / caveats / test-pass counts from prose into forensic bundles while the no-regex-over-prose rule only structurally holds for the exit-code axis; the recovery-digest incident (#2482) fixed one renderer, not the type system.",Digest from prose containing SHA+decision marks those fields text_derived while exit-code outcome stays raw_evidence; policy test fails on a forensic conclusion rendered from text-derived fields without caveat.
6,0,polylogue-cpf.5,1,bug,open,polylogue-cpf,,Temporal provenance laundering: aggregates collapse to provider_ts; propagate the weakest source,"classify_aggregate_hwm_source (temporal_source.py) launders weak timestamp provenance into provider_ts, so freshness/staleness surfaces look better-grounded than they are.",Table-driven tests over every TemporalSource pair (weakest wins); provider_ts + fallback_date aggregate emits fallback_date; leaf audit reports unjustifiable provider_ts paths.
7,0,polylogue-cpf.6,1,bug,open,polylogue-cpf,,Temporal correctness: clock seam for relative-date parsing + targeted sort_key_ms audit,(1) core/dates.py:37 sets RELATIVE_BASE = datetime.now(tz=utc) PER CALL inside parse_date (verified live 2026-07-06 — the earlier 'frozen at import' claim was wrong; a long-lived daemon does NOT drift).,parse_date and query lowering accept an injected clock; since:7d under frozen_clock is deterministic and shifts only with the injected clock; no direct datetime.now in query-time parsing outside the seam (lint or grep gate); audit table enumerates every sort_key_ms/COALESCE ordering+window path with a fixed/safe/synthetic verdict; timeless sessions appear with time_confidence=synthetic instead of vanishing or pinning to 1970.
8,0,polylogue-kwsb.1,1,bug,open,polylogue-kwsb,,"Daemon/capture security hardening: Host/Origin gate, receiver token, spool governor","Three confirmed holes (red-team, multiple independent confirmations): (1) DNS REBINDING reads the whole archive — GET routes have no Host check and Origin is checked only on POST and skipped when absent, so a malicious page resolving to 127.0.0.1 can read loopback HTTP; fix = ONE central Host/Origin allowlist middleware before dispatch (must admit the web shell own-origin — breaking same-origin shell is the named risk).",Cross-origin GET with foreign Host is refused; unauthenticated capture POST refused; forged-token POST refused; web shell + extension keep working (fixture proof); spool bounded.
9,0,polylogue-37t.15,1,task,open,polylogue-37t,,"Single agent-write chokepoint in upsert_assertion: non-user authors => CANDIDATE + inject:false, always",Known live hole (R&D-confirmed): blackboard_post lets an agent write author_kind=agent rows that land status=ACTIVE — an agent claim can self-inject as authoritative TODAY.,blackboard_post as agent lands candidate+inject:false; a rejected candidate re-upserted by an agent stays rejected; user-authored writes unaffected; both storage paths covered.
10,0,polylogue-83u.4,1,task,open,polylogue-83u,,"Classify the 39,586 missing referenced blobs in the production backup",Backup verifier warns 'referenced blobs missing: 39586'.,"Every one of the 39,586 missing referenced blobs classified by the blob-reference-debt classifier (table, ref type, origin, recoverability); direct-file-recoverable subset restored via blob-reference-restore-direct with SHA-256 verification; the irrecoverable remainder documented with counts and the recovery-vs-accept decision recorded."
11,0,polylogue-cfk,1,task,open,,,"Re-run two-arm uplift with freshness-fixed packs (n>=3 pairs, then n=12-20)","Successor to campaign polylogue-jxe, which closed diagnostic-negative: raw-ref arm 8/10 vs handoff-pack 5/10, with the loss attributed to packet staleness (pack generated before later devloop work; raw-ref arm found newer beads/archive evidence).","n>=3 paired runs completed under the recorded protocol (fresh continuation-time pack + live query vs raw-ref + live query); per-pair scores + paired analysis committed under .agent/demos/uplift-two-arm/; cold-reader gate on the comparison artifact; result recorded in the bead (positive, negative, or ambiguous -> three-arm follow-up decision)."
12,0,polylogue-0v9p,1,feature,open,polylogue-4smp,,Language detection and preference facts for variant selection,"Why: agents should translate when useful, but the archive first needs honest language facts.",Block/message/session language facts exist with confidence and provenance.
13,0,polylogue-83u.3,1,feature,open,polylogue-83u,,Preserve uploaded attachment bytes in live browser capture,"chatgpt-dom-v1 records the attachment chip (name + DOM text), not the uploaded bytes (byte_count=0) — the bytes live on provider servers.","- Extension/receiver architecture constraints (MV3 service worker lifecycle, receiver contract) are documented in the PR before choosing between (a) intercepting the upload request body at capture time (webRequest/fetch hook) and (b) re-fetching provider attachment URLs while the authenticated session is live."
14,0,polylogue-arso,1,feature,open,polylogue-4smp,,"Content variant substrate: refs, nodes, alignment, storage",Why: translations and other transformed content need a first-class substrate over existing public refs.,"Canonical types, storage DDL, repository/API read/write methods, and public ref resolution exist for variant and variant-node refs."
15,0,polylogue-bby.11,1,feature,open,polylogue-bby,,Webui architecture v2: the stack that can carry the ambition,"The roadmap now on the reader (mission control, timeline+firehose, replay, pinboard, day page, command palette, semantic renderers, SSE-live everything) cannot be built in JS-in-Python-strings, and shouldn't be built three views deep before the foundation is chosen.","Scaffold merged: typed generated API client, SSE/cache module, tokens, palette, routing; list + reader views reach parity with the old SPA on the seeded corpus (including the bby.7 ref walk) and the old SPA's list/reader are retired; devtools render webui reproduces byte-identical committed dist in CI; a coding agent added one new view (the judge queue) purely against the scaffold docs — the agent-buildability proof."
16,0,polylogue-d1y,1,feature,open,polylogue-s7ae,,polylogue hooks install: one-command harness wiring + hook liveness monitoring,"Hooks are the highest-fidelity capture channel (event-granularity, 100% coverage vs ~79% post-hoc per docs/hooks.md) and the enabling substrate for context injection — yet wiring them is manual settings.json surgery per harness, per machine, per event type (16 Claude Code events, 6 Codex), and NOTHING notices when they stop firing (harness update, moved script, broken PATH): capture silently degrades to post-hoc JSONL discovery.","On a clean settings.json, hooks install --harness claude-code --events recommended wires the starter set; a second run produces zero diff."
17,0,polylogue-pj8,1,feature,open,polylogue-s7ae,,Agent query cookbook: MCP prompts + skill recipes as the discoverability layer,Agents use what is in their face and skip what requires invention (jgp doctrine).,"- ~6 intent-named MCP prompts are registered (resume-context, postmortem-last, decisions-about, unacknowledged-failures, sessions-touching-file, cost-of) that expand to the correct tool-call sequences with cwd/repo prefilled; total prompt count stays small (curation, not another catalog)."
18,1,polylogue-s7ae.2,1,task,open,polylogue-s7ae,polylogue-pj8,Pre-deployment MCP and hook coordination batch,Why: the coordination program will require MCP prompt/tool updates and harness/hook rollout.,MCP prompt/tool surface for coordination is implemented or explicitly delegated to the envelope bead with no remaining predeploy MCP code gaps.
19,2,polylogue-ahqd,1,task,open,polylogue-s7ae,polylogue-s7ae.2,Observe MCP write adoption after role rollout,"Why: polylogue-27p made full/evidence/browser agent profiles write-capable and mutation rows author-attributed, but the current Codex process predates the Home Manager activation.","A freshly launched full/evidence/browser agent session performs benign record_correction, add_tag, and blackboard_post MCP calls; the resulting archive rows carry the authoring session ref; an affordance-usage artifact/report shows those write calls; lean profile remains read-only."
20,1,polylogue-rlsb,1,feature,open,polylogue-4smp,polylogue-arso,"Variant-aware projection, query, and reader render profiles","Why: translated or simplified content should be selectable, readable, exported, and queried through the existing read algebra, not through bespoke translation flags or export modes.",CLI/API/MCP/daemon query/read paths can request variants through ProjectionSpec and existing query/projection stages.
21,2,polylogue-d4zk,1,feature,open,polylogue-4smp,"polylogue-arso, polylogue-rlsb","User and agent UX for creating, reviewing, and messaging about variants",Why: the operator wants agents to translate at will and wants to view/interact with those translations.,A user can address an object ref and request a variant-producing action through CLI/MCP and at least one web/in-page UX path.
22,3,polylogue-4smp,1,epic,open,,,Content variants: language-aware transformed archive objects with alignment,"Why: agents should be able to translate source content, annotations, and other addressable Polylogue objects for the operator, and the reader/export/query surfaces should let the operator view and interact with those translations without confusing transformed text with original evidence.",A typed content-variant model exists over public refs without treating variants as assertions.
23,0,polylogue-1xc.12,2,bug,open,polylogue-1xc,,FTS drift gauges + metamorphic coherence tests; rowid-reuse requires block_id check,FTS readiness is too boolean: operators need drift MAGNITUDE and tests need to prove trigger coherence under arbitrary block mutation.,Rowid-reuse test fails unless block_id equality checked; hypothesis op-sequence tests green; gauges scrape without table scans; ledger-vs-exact agreement periodically verified.
24,0,polylogue-20d.4,2,bug,open,polylogue-20d,,CLI structured-query routing parity with daemon (#1860): no FTS gate for non-FTS queries,"The daemon discriminates structured-only queries from FTS queries (http.py ~:1789-1793); the CLI calls the search path unconditionally, so structured filters pay the FTS readiness gate.","- The CLI search-vs-list site branches on structured-only vs FTS (spec.query_terms/contains_terms), mirroring the daemon http.py discriminator; structured-only queries no longer pass through the FTS readiness gate."
