cluster_id,name,branch_policy,beads,write_hotspots,acceptance_gate,ordering
C00,tracker-repair,same bookkeeping branch; merge immediately,"z9gh.1,xnws,20d.17,703,kwsb.2,t46.9,avmq,yp0,b054.1.1,88jp,gxjh.1",No production code,Restore per-ID latest records; apply supersedes/reparent/edge fixes; run graph lint; re-read every changed row after checkout.,First
C01,raw-authority-code,one serialized code branch,"hjpx.2,hjpx,lkrc",polylogue/storage/raw_reconciler.py;polylogue/storage/raw_authority.py;polylogue/storage/repair.py;polylogue/storage/sqlite/archive_tiers/archive.py;polylogue/archive/revision_authority.py;polylogue/sources/revision_backfill.py;polylogue/sources/live/batch.py;polylogue/sources/live/append_ingest.py;devtools/raw_authority_scale_proof.py,"Scale receipt proves finite-retry convergence, bounded RSS/PSS/swap/temp/I/O, plan conservation, and two-census fixed point.",After C00
C02,raw-authority-live-gate,separate no-code operator execution phase,"yla8,lkrc",Live archive and receipts only,Stopped daemon; verified current backup; quiescent preflight; exact immutable plan authorization; bounded apply; postflight census; rollback/judgment path.,After C01 review
C03,query-execution-core,one branch,"z9gh.1,4s3c",polylogue/archive/query/execution_control.py;query executor tests;live scale harness,Cross-class fairness and live resource envelope; no remaining core cleanup leak; dedicated reader interruption remains production-routed.,After C00
C04,query-transaction-surfaces,one serialized branch after C03,"z9gh.9.1,t46.8.2,t46.8.2.1",polylogue/mcp/**;polylogue/daemon/http.py;polylogue/api/archive.py;query paging/spool contracts,Migrate remaining read sites; HTTP disconnect; resumed receipt; MCP generated adapter parity; no duplicate tool alias.,After C03 and t46.8.1
C05,query-declarations,shared branch with explicit semantic/protocol boundary,"o21.1,z9gh.3,t46.8.1",new declaration kernel;query declaration/lowering;MCP declaration projection,One identity/completeness kernel; query semantics stay z9gh.3; MCP projection stays t46.8.1; no second registry.,Kernel first
C06,status-snapshots,one serialized hotspot branch,20d.17,polylogue/daemon/status.py;polylogue/daemon/status_snapshot.py;polylogue/cli/commands/status.py;polylogue/coordination/envelope.py;MCP/HTTP/web projections,"Component isolation, deadlines, last-good, source-fingerprint invalidation, compact/detail parity, live p95 and byte budgets; 703 evidence embedded.",After C00
C07,daemon-supervision,one branch,"avmq,09rn,enj7",polylogue/daemon/cli.py;new service registry/supervisor;lifecycle tests,Inventory every spawned task; deterministic dependency order; isolated failure; bounded shutdown; production-derived named profiles; no orphan task.,Independent of yp0
C08,daemon-events,separate downstream branch,"yp0,14t7",polylogue/daemon/event_bus.py;publisher/subscriber wiring,Committed-domain events only; slow reconciliation remains truth; first production consumer; reduced polling measurement.,After C07 registry is stable
C09,destructive-mutations,"one security-sensitive branch per domain pilot, common transaction substrate","kwsb.2,t46.9(absorbed),jn40",mutation transaction;domain PlanSpec/actuators;surface adapters;storage guards,Bound actor/archive/version/target digest; preview-stale; role parity; durable receipt; no universal speculative executor.,After C00
C10,declaration-consumers,"kernel first, then separate domain branches","9e5.31.1,71ey,rii.1,37t.2.1",definition closure;maintenance targets/replay;marker/work-event lowering;session_events/services,All consume o21.1 identity/completeness; no parallel registry; one marker/work-event vocabulary with distinct adapters.,After C05 kernel
C11,schema-workload-generation,one serialized owner branch,"1xc.14.1,1xc.14.1.1,1xc.14.1.2,1xc.14.1.3",polylogue/schemas/generation/**;promotion/audit/runtime resolution;generated artifacts,Order: bounded journal/replay → privacy/promotion → catalog roles/default → joint live canaries and receipts.,After C00 claim normalization
C12,extension-actions-capture-ux,serialized branches over shared extension/receiver hotspot,"ptx,3v1,yyvg.7",polylogue/browser_capture/**;browser-extension/src/**;capture/status tests,"Provider-neutral action receipts, capture gap truth, exception-only UX, live provider/project/failure/deployed parity; no campaign ledger in extension.",Transport before UX closure
C13,external-campaign,separate local-tooling branch,yyvg.6,scripts/local orchestration/private ledger only,Campaign retries/convergence consume ptx/3v1 evidence without leaking campaign IDs or ownership into extension/receiver.,After transport contracts stable
C14,beads-sync,one branch; no sibling bookkeeping branches,"gxjh.1,8jg9.1",.agent/scripts/bd-reimport-guard.py;Beads import/export/merge tests;policy consumer,"Per-row monotonic union, incomparable conflict refusal, atomic receipt, status/parent/dependency preservation, z9gh.1/xnws regression fixtures.",Before broad graph edits if implementation is ready
C15,verification-harness,one harness root with separate proof lanes,b054.1.1 and children;88jp,verification selection/seed receipts;process cleanup;baseline manifest,"Bounded fresh-checkout seed, durable resume, zero unowned quarantine, repeated witness SLOs, baseline-aware affected selection.",After reparent
