group,path,line,note
assertion_chokepoint,polylogue/storage/sqlite/archive_tiers/user_write.py,31,"ASSERTION_DEFAULT_STATUS is ACTIVE, so missing status currently means trusted active."
assertion_chokepoint,polylogue/storage/sqlite/archive_tiers/user_write.py,641,upsert_blackboard_note passes author_kind and no explicit status into upsert_assertion.
assertion_chokepoint,polylogue/storage/sqlite/archive_tiers/user_write.py,901,upsert_assertion is the single write chokepoint to patch.
assertion_chokepoint,polylogue/api/contracts/assertions.py,,Check public assertion request/response contract after changing default status behavior.
blob_gc,polylogue/storage/blob_store.py,352,detect_orphans only compares disk hashes to caller-supplied referenced IDs.
blob_gc,polylogue/storage/blob_store.py,387,cleanup_orphans deletes caller-supplied hashes and lacks lease/ref/generation checks.
blob_gc,polylogue/storage/blob_gc.py,163,_has_active_lease exists in the safer GC path.
blob_gc,polylogue/storage/blob_gc.py,307,run_blob_gc is the safer planner/executor path to route destructive cleanup through.
blob_gc,polylogue/storage/blob_gc.py,393,GC generation/age gate exists in run_blob_gc.
daemon_security,polylogue/daemon/http.py,983,_check_auth_logic uses direct equality and allows all when token is unset.
daemon_security,polylogue/daemon/http.py,1037,_check_auth currently accepts query-string access_token broadly.
daemon_security,polylogue/daemon/http.py,1294,do_GET dispatches without central Host/Origin admission.
daemon_security,polylogue/daemon/http.py,1301,_check_cross_origin applies only to POST and allows absent Origin.
daemon_security,polylogue/browser_capture/receiver.py,45,BrowserCaptureReceiverConfig defaults auth_token to None.
daemon_security,polylogue/browser_capture/server.py,54,_origin_allowed accepts absent Origin.
daemon_security,polylogue/browser_capture/server.py,68,_check_token accepts every request when auth_token is None and uses direct equality otherwise.
daemon_security,polylogue/browser_capture/server.py,47,Only per-request max body exists; add spool file/count/bytes governor.
temporal,polylogue/core/dates.py,10,parse_date has no injected clock parameter.
temporal,polylogue/core/dates.py,37,RELATIVE_BASE uses ambient datetime.now.
temporal,polylogue/archive/query/expression.py,2440,Query grammar recognizes relative-date literals.
temporal,polylogue/archive/query/spec.py,498,SessionQuerySpec.from_params is the central query-spec constructor.
temporal,polylogue/insights/temporal_source.py,66,classify_profile_hwm_source promotes any updated_at to provider_ts.
temporal,polylogue/insights/temporal_source.py,97,classify_aggregate_hwm_source currently collapses all non-empty source updates to provider_ts.
timestamp_copies,polylogue/context/selection.py,285,One of several _parse_archive_datetime copies.
timestamp_copies,polylogue/mcp/archive_support.py,492,MCP copy of _parse_archive_datetime.
timestamp_copies,polylogue/api/archive.py,514,API copy of _parse_archive_datetime.
timestamp_copies,polylogue/cli/read_views/standard.py,232,CLI read-view copy of _parse_archive_datetime.
timestamp_copies,polylogue/archive/query/archive_execution.py,113,Archive query execution copy of _parse_archive_datetime.
timestamp_copies,polylogue/storage/insights/session/rebuild.py,763,Divergent storage/insight copy that forces naive timestamps to UTC.
timestamp_copies,polylogue/daemon/provenance.py,84,One of several _iso_from_epoch_ms copies.
timestamp_copies,polylogue/storage/embeddings/status_payload.py,338,Lenient _iso_from_epoch_ms copy in embeddings status payload.
rigor,polylogue/insights/audit.py,173,build_insight_rigor_audit_report is the audit entry point.
rigor,polylogue/insights/audit.py,194,"Current code iterates list_rigor_contracts, not the product registry."
rigor,polylogue/insights/audit.py,216,Registry lookup is secondary and skipped for products without contracts.
rigor,polylogue/insights/rigor.py,85,_RIGOR_MATRIX declares only a subset of registered products.
rigor,polylogue/insights/registry.py,294,INSIGHT_REGISTRY is the universe the audit should iterate.
fts,polylogue/storage/sqlite/archive_tiers/index.py,296,messages_fts table DDL lives in archive_tiers/index.py.
fts,polylogue/storage/fts/sql.py,11,messages_fts DDL copy also exists in storage/fts/sql.py.
fts,polylogue/storage/fts/fts_lifecycle.py,292,ensure_fts_triggers_sync owns runtime repair/recreation.
fts,polylogue/storage/fts/fts_lifecycle.py,512,Thread FTS rebuild logic is duplicated in lifecycle repair path.
fts,polylogue/daemon/convergence_stages.py,988,daemon convergence has another repair/readiness path for archive messages_fts.
usage,polylogue/storage/usage.py,478,stale provider rollup stats are materialized/read here.
usage,polylogue/storage/usage.py,797,full stale diagnostics path can become expensive.
usage,polylogue/storage/usage.py,891,comments indicate corrected rows with cached/reasoning partitions.
usage,polylogue/storage/usage.py,1033,model rollup stats aggregate input/output/cache lanes.
usage,polylogue/archive/semantic/cost_compute.py,,Inspect pricing/provenance computation before changing cost views.
usage,polylogue/archive/semantic/subscription_pricing.py,,"Subscription-credit view belongs here, distinct from API-list-equivalent cost."
usage,scripts/cost_accounting_demo.py,,Existing demo captures usage/cost accounting expectations.
read_contract,polylogue/archive/query/spec.py,440,SessionQuerySpec is the core read selection object.
read_contract,polylogue/archive/query/spec.py,498,from_params centralizes parameter lowering.
read_contract,polylogue/cli/query_contracts.py,70,QueryOutputSpec is current output/render contract seam.
read_contract,polylogue/cli/archive_query.py,164,CLI archive query execution remains a dense orchestration point.
read_contract,polylogue/daemon/http.py,1734,Daemon split-archive route already has from_params path for some cases.
read_contract,polylogue/daemon/http.py,3296,Another daemon path builds SessionQuerySpec from raw query params.
read_contract,polylogue/mcp/query_contracts.py,54,MCP query normalization has a distinct lowering path.
object_refs,polylogue/core/refs.py,,"Existing ref model should be extended, not bypassed."
object_refs,polylogue/storage/sqlite/archive_tiers/user_write.py,901,Findings should reuse assertion/candidate lifecycle.
object_refs,polylogue/surfaces/payloads.py,747,Surface payloads currently expose branch/message refs; expand consistently.
object_refs,polylogue/mcp/payloads.py,377,MCP message payloads carry variant/branch metadata today.
coordination,polylogue/coordination/envelope.py,,Coordination envelope model exists; harden it as the shared payload.
coordination,polylogue/coordination/payloads.py,,Coordination payload types should stay small and evidence-ref oriented.
coordination,polylogue/coordination/rendering.py,,"Rendered advisories should be scheduler-mediated, not chat spam."
coordination,tests/unit/coordination/test_envelope.py,,Existing envelope tests are the starting verification lane.
coordination,polylogue/mcp/server_prompts.py,219,MCP prompt registration exists and can surface cookbook/roles.
coordination,polylogue/cli/commands/agents.py,,CLI agent commands are the operator-facing entry point.
variants,polylogue/core/identity_law.py,42,"Current identity includes variant_index only for provider sibling messages, not transformed content variants."
variants,polylogue/storage/sqlite/queries/message_query_reads.py,34,Read model projects message variant_index as branch_index.
variants,polylogue/surfaces/payloads.py,747,Reader payload maps message variant_index to branch_index.
variants,polylogue/daemon/compare.py,220,"Compare/alignment semantics exist for message diffing, not content-transform alignment."
lineage,polylogue/archive/session/threads.py,,Session/thread lineage read and composition model.
lineage,polylogue/insights/topology.py,,Topology/lineage derived insight code.
lineage,polylogue/daemon/lineage_startup.py,,Daemon lineage startup/convergence path.
lineage,polylogue/archive/coverage.py,,Completeness/truncation cues live here.
lineage,polylogue/insights/postmortem.py,,Compaction/continuation postmortem evidence is mined here.
attachments,polylogue/browser_capture/models.py,22,BrowserCaptureAttachment has metadata and possible data fields; acquisition policy must be explicit.
attachments,polylogue/browser_capture/server.py,259,Capture POST writes payloads to spool after admission checks.
attachments,polylogue/archive/attachment/models.py,,Normalized attachment model should carry acquired/missing/recoverable state.
