order,id,priority,lane,readiness,title,packet_file
1,polylogue-s7ae.6,P1,release-gate,ready-now / evidence-work,Classify the aborted full verification run before coordination deploy,tasks/01_polylogue-s7ae.6.md
2,polylogue-37t.15,P1,agent-write-safety,ready-now / code-local,Force non-user assertion writes through candidate/non-injected policy,tasks/02_polylogue-37t.15.md
3,polylogue-kwsb.1,P1,security,ready-now / code-local with extension smoke,"Daemon/capture Host, Origin, receiver-token, and spool hardening",tasks/03_polylogue-kwsb.1.md
4,polylogue-8jg9.4 + polylogue-8jg9.2,P1/P2,blob-integrity,ready-now / code-local,Make ops-doctor orphan cleanup use the same lease/generation invariants as blob GC,tasks/04_polylogue-8jg9.4_plus_polylogue-8jg9.2.md
5,polylogue-83u.4,P1,blob-integrity,ready-now / diagnostic-code,Separate source-tier referenced-blob debt from index attachment-acquisition debt,tasks/05_polylogue-83u.4.md
6,polylogue-9e5.28,P1,evidence-honesty,ready-now / code-local,"Make the rigor audit iterate the full insight registry, not only existing contracts",tasks/06_polylogue-9e5.28.md
7,polylogue-9e5.29,P1,evidence-honesty,needs-small-spec then code,Distinguish absent evidence from true numeric zero at field level,tasks/07_polylogue-9e5.29.md
8,polylogue-9e5.30,P1,evidence-honesty,ready-now / model-and-renderer,Tag prose-mined forensic fields as text-derived,tasks/08_polylogue-9e5.30.md
9,polylogue-cpf.5,P1,temporal-honesty,ready-now / code-local with schema propagation,Propagate weakest temporal provenance through aggregates,tasks/09_polylogue-cpf.5.md
10,polylogue-cpf.6,P1,temporal-honesty,ready-now / code-local plus audit artifact,Inject clock seam for relative-date parsing and audit sort_key_ms epoch pins,tasks/10_polylogue-cpf.6.md
11,polylogue-f2qv.2,P2,usage-cost-correctness,ready-now / parser+tests,Normalize Codex/Claude token lanes into disjoint uncached/cache/reasoning/completion fields,tasks/11_polylogue-f2qv.2.md
12,polylogue-f2qv.1,P2,usage-cost-correctness,ready-now / storage-rollup,Make per-model rollups partition usage events instead of duplicating session totals,tasks/12_polylogue-f2qv.1.md
13,polylogue-f2qv.4,P2,usage-cost-correctness,ready-now / grep-and-contract,Use one LiteLLM-backed pricing resolver and remove tokencost/second maps,tasks/13_polylogue-f2qv.4.md
14,polylogue-f2qv.3,P2,usage-cost-correctness,ready-now after lanes/pricing,Report API-equivalent dollars and subscription credits as separate fields,tasks/14_polylogue-f2qv.3.md
15,polylogue-f2qv.5,P2,usage-cost-correctness,ready-now / convergence-path,Version-gate provider-usage projection so stale rollups self-heal,tasks/15_polylogue-f2qv.5.md
16,polylogue-20d.4,P2,query-correctness,ready-now / code-local,Mirror daemon structured-query routing in CLI so non-FTS filters skip the FTS readiness gate,tasks/16_polylogue-20d.4.md
17,polylogue-1xc.12,P2,search-integrity,spec-first then code,Add FTS drift gauges and metamorphic trigger-coherence tests with rowid-reuse protection,tasks/17_polylogue-1xc.12.md
18,polylogue-83u.3,P1,attachment-integrity,needs-architecture-note then code,Acquire uploaded attachment bytes in live browser capture,tasks/18_polylogue-83u.3.md
19,polylogue-83u.2,P2,attachment-integrity,ready-now after census/classification,Acquire bytes for non-inline sources while live handles are open,tasks/19_polylogue-83u.2.md
20,polylogue-83u.6,P2,attachment-integrity,ready-now / read-only artifact,Run read-only attachment acquisition census by origin/status/bytes,tasks/20_polylogue-83u.6.md
21,polylogue-peo,P2,operational-resilience,ready-now / lifecycle module,"Add daemon crash forensics, heartbeat sentinel, and restart evidence",tasks/21_polylogue-peo.md
22,polylogue-4be,P2,backup-integrity,ready-now / devtools+ops artifact,Create a real restore drill for backup proof,tasks/22_polylogue-4be.md
23,polylogue-4ts.3,P2,lineage-truth,needs-source-confirmation then parser patch,Separate subagent auto-compaction from main-session compaction in lineage,tasks/23_polylogue-4ts.3.md
24,polylogue-4ts.4,P2,lineage-truth,needs-source-confirmation then storage patch,Read lineage composition from one transaction/snapshot,tasks/24_polylogue-4ts.4.md
25,polylogue-4ts.6,P2,lineage-truth,needs-source-confirmation then model patch,Expose transcript completeness instead of silently reading truncated sessions,tasks/25_polylogue-4ts.6.md
26,polylogue-b0b,P2,evidence-honesty,spec-first then targeted code,Replace keyword-only outcome/pathology heuristics with structural evidence where available,tasks/26_polylogue-b0b.md
27,polylogue-9e5.3,P2,evidence-honesty,ready-now / audit-artifact,Column-honesty census for nullable/zero/default public fields,tasks/27_polylogue-9e5.3.md
28,polylogue-9e5.4,P2,storage-correctness,ready-now / audit-artifact,Static get-modify-put race-window audit of shared SQLite writer paths,tasks/28_polylogue-9e5.4.md
29,polylogue-9e5.19,P2,storage-correctness,ready-now after focused bugs,Storage-layer correctness scenario family in devtools lab,tasks/29_polylogue-9e5.19.md
