order,id,title,priority,type,status,lane,release,urgency_tier,readiness,prework_depth,hard_blockers,packet_file
1,polylogue-s7ae.6,Classify the 74%-aborted full verify from the coordination commit before deploy,P1,task,in_progress,00-trust-floor,A-trust-floor,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,source-localized,,task_packets/001_polylogue_s7ae_6.md
2,polylogue-37t.15,"Single agent-write chokepoint in upsert_assertion: non-user authors => CANDIDATE + inject:false, always",P1,task,open,00-trust-floor,A-trust-floor,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,source-localized,,task_packets/002_polylogue_37t_15.md
3,polylogue-kwsb.1,"Daemon/capture security hardening: Host/Origin gate, receiver token, spool governor",P1,bug,open,00-trust-floor,A-trust-floor,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,source-localized,,task_packets/003_polylogue_kwsb_1.md
4,polylogue-8jg9.4,ops doctor cleanup_orphans can delete an in-flight leased blob (the real #818),P1,bug,open,00-trust-floor,A-trust-floor,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,source-localized,,task_packets/004_polylogue_8jg9_4.md
5,polylogue-8jg9.2,Blob-GC lease/orphan concurrency test (the acquire->commit race),P2,task,open,00-trust-floor,A-trust-floor,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/005_polylogue_8jg9_2.md
6,polylogue-83u.4,"Classify the 39,586 missing referenced blobs in the production backup",P1,task,open,00-trust-floor,A-trust-floor,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/006_polylogue_83u_4.md
7,polylogue-9e5.28,"Rigor audit iterates contracts, not the registry: uncovered number-bearing products vanish from audit",P1,bug,open,00-trust-floor,A-trust-floor,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/007_polylogue_9e5_28.md
8,polylogue-9e5.29,Number-over-empty gates: quantitative fields need field-level evidence contracts,P1,bug,open,00-trust-floor,A-trust-floor,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/008_polylogue_9e5_29.md
9,polylogue-9e5.30,Prose-mined forensic fields must carry text_derived provenance in the payload model,P1,bug,open,00-trust-floor,A-trust-floor,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/009_polylogue_9e5_30.md
10,polylogue-cpf.5,Temporal provenance laundering: aggregates collapse to provider_ts; propagate the weakest source,P1,bug,open,00-trust-floor,A-trust-floor,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,source-localized,,task_packets/010_polylogue_cpf_5.md
11,polylogue-cpf.6,Temporal correctness: clock seam for relative-date parsing + targeted sort_key_ms audit,P1,bug,open,00-trust-floor,A-trust-floor,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,source-localized,,task_packets/011_polylogue_cpf_6.md
12,polylogue-f2qv.2,Codex disjoint-lane normalizer: decompose cached/uncached and reasoning/completion with a regression guard,P2,task,open,02-usage-cost-honesty,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/012_polylogue_f2qv_2.md
13,polylogue-f2qv.1,Per-model token rollup double-count: session totals partitioned once (#2472),P2,bug,open,02-usage-cost-honesty,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/013_polylogue_f2qv_1.md
