order,wave,id,priority,issue_type,status,title,root,parent,release,release_name,lane,original_readiness_grade,upgraded_readiness_grade,had_acceptance_criteria,acceptance_patch_added,verification_lane,proof_artifact_path,security_impact,data_loss_impact,migration_impact,public_claim_impact
1,0,polylogue-s7ae.6,1,task,in_progress,Classify the 74%-aborted full verify from the coordination commit before deploy,polylogue-s7ae,polylogue-s7ae,A-trust-floor,Trust floor,verification-readiness,A-implementation-ready,A-implementation-ready,True,False,full devtools verify log with failure classification table,artifacts/A-trust-floor/polylogue-s7ae.6.md,False,False,False,False
2,0,polylogue-8jg9.4,1,bug,open,ops doctor cleanup_orphans can delete an in-flight leased blob (the real #818),polylogue-8jg9,polylogue-8jg9,A-trust-floor,Trust floor,blob-integrity,B-local-inspection-needed,B-local-inspection-needed,True,False,"leased-blob race fixture, blob-reference resolver report, SHA-256 restore/compression proof",artifacts/A-trust-floor/polylogue-8jg9.4.md,False,True,True,False
3,0,polylogue-9e5.28,1,bug,open,"Rigor audit iterates contracts, not the registry: uncovered number-bearing products vanish from audit",polylogue-9e5,polylogue-9e5,A-trust-floor,Trust floor,usage-cost-honesty,B-local-inspection-needed,B-local-inspection-needed,True,False,usage/cost reconciliation report with disjoint lanes and empty-evidence tests,artifacts/A-trust-floor/polylogue-9e5.28.md,False,False,False,True
4,0,polylogue-9e5.29,1,bug,open,Number-over-empty gates: quantitative fields need field-level evidence contracts,polylogue-9e5,polylogue-9e5,A-trust-floor,Trust floor,blob-integrity,A-implementation-ready,A-implementation-ready,True,False,"leased-blob race fixture, blob-reference resolver report, SHA-256 restore/compression proof",artifacts/A-trust-floor/polylogue-9e5.29.md,False,True,False,False
5,0,polylogue-9e5.30,1,bug,open,Prose-mined forensic fields must carry text_derived provenance in the payload model,polylogue-9e5,polylogue-9e5,A-trust-floor,Trust floor,temporal-provenance,B-local-inspection-needed,B-local-inspection-needed,True,False,clock-seam regression tests and weakest-timestamp-source aggregate fixture,artifacts/A-trust-floor/polylogue-9e5.30.md,False,False,False,True
6,0,polylogue-cpf.5,1,bug,open,Temporal provenance laundering: aggregates collapse to provider_ts; propagate the weakest source,polylogue-cpf,polylogue-cpf,A-trust-floor,Trust floor,temporal-provenance,B-local-inspection-needed,B-local-inspection-needed,True,False,clock-seam regression tests and weakest-timestamp-source aggregate fixture,artifacts/A-trust-floor/polylogue-cpf.5.md,False,False,False,True
7,0,polylogue-cpf.6,1,bug,open,Temporal correctness: clock seam for relative-date parsing + targeted sort_key_ms audit,polylogue-cpf,polylogue-cpf,A-trust-floor,Trust floor,temporal-provenance,B-local-inspection-needed,B-local-inspection-needed,True,False,clock-seam regression tests and weakest-timestamp-source aggregate fixture,artifacts/A-trust-floor/polylogue-cpf.6.md,False,False,False,True
8,0,polylogue-kwsb.1,1,bug,open,"Daemon/capture security hardening: Host/Origin gate, receiver token, spool governor",polylogue-kwsb,polylogue-kwsb,A-trust-floor,Trust floor,security-privacy,A-implementation-ready,A-implementation-ready,True,False,negative Host/Origin/token/spool/security fixture suite,artifacts/A-trust-floor/polylogue-kwsb.1.md,True,False,True,False
9,0,polylogue-37t.15,1,task,open,"Single agent-write chokepoint in upsert_assertion: non-user authors => CANDIDATE + inject:false, always",polylogue-37t,polylogue-37t,A-trust-floor,Trust floor,security-privacy,A-implementation-ready,A-implementation-ready,True,False,negative Host/Origin/token/spool/security fixture suite,artifacts/A-trust-floor/polylogue-37t.15.md,True,False,False,False
10,0,polylogue-83u.4,1,task,open,"Classify the 39,586 missing referenced blobs in the production backup",polylogue-83u,polylogue-83u,A-trust-floor,Trust floor,blob-integrity,A-implementation-ready,A-implementation-ready,True,False,"leased-blob race fixture, blob-reference resolver report, SHA-256 restore/compression proof",artifacts/A-trust-floor/polylogue-83u.4.md,False,True,False,False
