issue_id,depends_on_id,type,reason,created_by
polylogue-b5l,polylogue-1xc.8,blocks,"blue-green rebuild must wait for throughput envelope, rebuild-safety, blob-GC safety, and restore proof",delivery-upgrade-gpt-5.5-pro
polylogue-b5l,polylogue-8jg9.4,blocks,"blue-green rebuild must wait for throughput envelope, rebuild-safety, blob-GC safety, and restore proof",delivery-upgrade-gpt-5.5-pro
polylogue-b5l,polylogue-8jg9.2,blocks,"blue-green rebuild must wait for throughput envelope, rebuild-safety, blob-GC safety, and restore proof",delivery-upgrade-gpt-5.5-pro
polylogue-b5l,polylogue-4be,blocks,"blue-green rebuild must wait for throughput envelope, rebuild-safety, blob-GC safety, and restore proof",delivery-upgrade-gpt-5.5-pro
polylogue-83u.5,polylogue-83u.4,blocks,blob compression waits until missing byte debt and acquisition coverage are classified/proven,delivery-upgrade-gpt-5.5-pro
polylogue-83u.5,polylogue-83u.2,blocks,blob compression waits until missing byte debt and acquisition coverage are classified/proven,delivery-upgrade-gpt-5.5-pro
polylogue-83u.5,polylogue-83u.3,blocks,blob compression waits until missing byte debt and acquisition coverage are classified/proven,delivery-upgrade-gpt-5.5-pro
polylogue-83u.5,polylogue-83u.6,blocks,blob compression waits until missing byte debt and acquisition coverage are classified/proven,delivery-upgrade-gpt-5.5-pro
polylogue-bby.15,polylogue-rxdo.1,blocks,"evidence basket/export requires object refs, query identity, one read contract, and drift-aware citations",delivery-upgrade-gpt-5.5-pro
polylogue-bby.15,polylogue-rxdo.2,blocks,"evidence basket/export requires object refs, query identity, one read contract, and drift-aware citations",delivery-upgrade-gpt-5.5-pro
polylogue-bby.15,polylogue-rxdo.3,blocks,"evidence basket/export requires object refs, query identity, one read contract, and drift-aware citations",delivery-upgrade-gpt-5.5-pro
polylogue-bby.15,polylogue-rxdo.4,blocks,"evidence basket/export requires object refs, query identity, one read contract, and drift-aware citations",delivery-upgrade-gpt-5.5-pro
