id,priority,snapshot_status,effective_status,issue_type,title,assignee,source_areas,parent,authority_class,authority_claim,acceptance_semantics,hard_prerequisites,soft_relations,supersedes,explicit_paths,source_presence,stale_description_signal,write_hotspot_cluster,audit_disposition,updated_at,effective_updated_at,labels
polylogue-866e,0,open,open,bug,Make lineage writes order-independent and branch-point safe,,lineage;storage;test,polylogue-4ts,regression/repair-slice,,bounded-resource;parity/completeness;determinism/idempotency;restart/crash;mutation/falsification;schema/contract;regression-fixture,,,,polylogue/storage/sqlite/archive_tiers/write.py;polylogue/storage/sqlite/queries/session_links.py;polylogue/storage/sqlite/queries/message_query_reads.py;tests/property/test_write_path_state_machine.py,both=4,records-landed-work+records-residual-work,lineage,retain-distinct; no duplicate/contradiction found in this pass,2026-07-16T13:04:56Z,2026-07-16T13:04:56Z,area:lineage;area:storage;area:test;horizon:frontier
polylogue-hjpx,0,in_progress,in_progress,bug,Make RawAuthorityReconciler execute accepted replay plans to fixed point,Sinity,sources;storage;test,polylogue-lkrc,canonical-authority-owner,2026-07-17 static follow-up from yla8 read-only preflight: current live execution is blocked by one non-stream-safe authority component over the 1 GiB bounded replay envelope.,live-evidence;receipt/provenance;bounded-resource;cancellation/cleanup;parity/completeness;determinism/idempotency;security/authorization;mutation/falsification;schema/contract;operator-gate;regression-fixture,,polylogue-yla8,,polylogue/storage/repair.py;polylogue/sources/revision_backfill.py;polylogue/daemon/cli.py;tests/unit/sources/test_revision_backfill.py,both=4,records-landed-work+records-residual-work,raw-authority,retain fixed-point executor; add prerequisite hjpx.2,2026-07-17T01:54:28Z,2026-07-17T01:54:28Z,area:sources;area:storage;area:test;delivery:A-trust-floor;horizon:frontier
polylogue-lkrc,0,in_progress,in_progress,bug,Converge raw evidence authority through one proof-driven reconciler,Sinity,browser;sources;storage,polylogue-1xc,canonical-authority-owner,"Polylogue has accumulated separate repair actuators and incident Beads for origin-mismatched browser raws, competing canonical heads, duplicate raw identities, replaced snapshots requiring reacquisition, quarantined accepted raws, and superseded revisions.",live-evidence;receipt/provenance;bounded-resource;determinism/idempotency;restart/crash;security/authorization;mutation/falsification;schema/contract;operator-gate;regression-fixture,polylogue-yla8,polylogue-1xc.13;polylogue-2qx;polylogue-b5l.1;polylogue-yla8.10,,polylogue/storage/repair.py;tests/unit/sources/test_live_batch_support.py,both=2,records-landed-work+records-residual-work,raw-authority,retain final authority/reconciler closure,2026-07-17T01:48:12Z,2026-07-17T01:48:12Z,area:browser;area:sources;area:storage;delivery:A-trust-floor;horizon:frontier
polylogue-ptx,0,in_progress,in_progress,feature,Expose provider-neutral browser chat action conduit,Sinity,ingest;web,polylogue-bby,proof/verification-slice,"One versioned BrowserActionIntent contract can create a new Chat conversation or reply to an exact existing conversation with text plus multiple hash-pinned attachments; successful receipts bind provider conversation URL/id, submitted user-turn identity, selected surface/model/effort/project, provi…",live-evidence;receipt/provenance;determinism/idempotency;security/authorization;schema/contract;operator-gate;regression-fixture,polylogue-3v1.1;polylogue-83u.3;polylogue-83u.4;polylogue-kwsb.1,,,,no-explicit-paths,records-landed-work+records-residual-work,extension-actions,retain provider-neutral transport/receipt authority,2026-07-16T07:58:36Z,2026-07-16T07:58:36Z,area:ingest;area:web;delivery:H-web-cockpit;lane:web-evidence-cockpit
polylogue-t8t,0,open,open,task,Declare continuity replay scenarios and independent known-answer oracles,,context;legibility;mcp;query,polylogue-z9gh,canonical-authority-owner,"Add polylogue/product/continuity_scenarios.py as the canonical declaration registry, using the existing polylogue.scenarios ScenarioSpec/ScenarioMetadata protocols and referencing, rather than duplicating, product/workflows.py query-action recipes.",live-evidence;receipt/provenance;cancellation/cleanup;parity/completeness;determinism/idempotency;security/authorization;mutation/falsification;schema/contract;operator-gate;regression-fixture,,polylogue-s7ae,,polylogue/product/continuity_scenarios.py;devtools/continuity_replay.py;tests/data/continuity;tests/unit/product/test_continuity_scenarios.py;tests/integration/test_continuity_replay.py;.agent/handoffs/polylogue-gpt-pro-2026-07-07/prework-v2/task_packets/070_polylogue_t8t.md,origin-only=1;missing/planned=5,records-landed-work,context,retain-distinct; no duplicate/contradiction found in this pass,2026-07-16T13:04:58Z,2026-07-16T13:04:58Z,area:context;area:legibility;area:mcp;area:query;delivery:C-read-evidence-contract;delivery:D-agent-context-coordination;horizon:frontier;lane:agent-coordination;lane:read-contracts;spine;wave:2
polylogue-yla8,0,in_progress,in_progress,bug,Run the authority-safe raw replay closure gate,Sinity,daemon;storage;test,polylogue-1xc,canonical-authority-owner,"Chunk 1 rejected two full replays while preserving the accepted index: (1) a 25,898,236-byte ChatGPT browser capture for session 69d5383e-69d0-8327-a899-94a89ff35ea4 hit ""conflicting accepted head""; the existing semantic head comes from a 15,890,659-byte account-export member and the browser captur…",live-evidence;receipt/provenance;bounded-resource;parity/completeness;restart/crash;security/authorization;mutation/falsification;schema/contract;operator-gate;regression-fixture,,polylogue-1xc.13;polylogue-b5l.2;polylogue-n2wy,,,no-explicit-paths,records-landed-work+records-residual-work,raw-authority-live-gate,retain separate operator-authorized live gate; add prerequisite hjpx,2026-07-17T02:02:05Z,2026-07-17T02:02:05Z,area:daemon;area:storage;area:test;delivery:A-trust-floor;horizon:frontier;lane:operational-resilience;spine
polylogue-yyvg.6,0,in_progress,in_progress,feature,Track and automate external-agent result incorporation,Sinity,capture;coordination;web,polylogue-yyvg,canonical-authority-owner,"The orchestrator owns MissionId, RunId, IterationId, DeliverableId, PackageRevisionId, readable prompt/attachment/result filenames, retry/alternative/supersedes lineage, prompt profiles, queue policy, cadence experiments, and integration receipts.",receipt/provenance;bounded-resource;parity/completeness;determinism/idempotency;mutation/falsification;schema/contract;regression-fixture,,,,scripts/local,missing/planned=1,records-landed-work,external-campaign,retain external campaign orchestration; separate branch/ledger,2026-07-16T14:04:17Z,2026-07-16T14:04:17Z,area:capture;area:coordination;area:web;delivery:L-external-legibility;horizon:frontier;lane:docs-demos-launch
polylogue-yyvg.7,0,in_progress,in_progress,feature,Make extension UX automatic and exception-driven,Sinity,capture;web,polylogue-yyvg,canonical-authority-owner,"F4/ys30/yyvg.4 owns capture dot and Save action in provider-native per-message action rows, resolved by one ProviderAdapter identity contract; no ordinal/text-only durable authority.",live-evidence;restart/crash;security/authorization;schema/contract;operator-gate,,,,docs/design/browser-capture-redesign/mockup.dc.html,both=1,records-landed-work+records-residual-work,extension-ux,retain UX policy; soft-relate to 3v1,2026-07-16T07:58:38Z,2026-07-16T07:58:38Z,area:capture;area:web;delivery:L-external-legibility;horizon:frontier;horizon:mid;lane:docs-demos-launch
polylogue-z9gh,0,open,open,epic,Restore mandate-critical archive queryability under real agent workloads,,mandate;mcp;perf;query,,program/invariant-container,"(D) Agent query declaration: polylogue-z9gh.3 generates executable discovery, structured plans, DSL teaching, compact projections, and errors from one registry.",receipt/provenance;bounded-resource;cancellation/cleanup;parity/completeness;schema/contract;regression-fixture,,polylogue-1vpm;polylogue-1xc;polylogue-20d;polylogue-2qx;polylogue-rsad;polylogue-t46;polylogue-t46.3;polylogue-t46.8;polylogue-t8t,,,no-explicit-paths,records-residual-work,mandate,retain program container; do not execute as a leaf,2026-07-14T23:13:12Z,2026-07-14T23:13:12Z,area:mandate;area:mcp;area:perf;area:query;horizon:frontier
polylogue-z9gh.1,0,open,in_progress,bug,Make archive queries interruptible and resource-bounded,Sinity,mcp;perf;query,polylogue-z9gh.9,regression/repair-slice,"Cancellation, deadlines, off-event-loop execution, and admission control belong to the shared query transaction rather than MCP-specific wrappers.",live-evidence;receipt/provenance;bounded-resource;cancellation/cleanup;determinism/idempotency;mutation/falsification,,polylogue-1xc.14;polylogue-20d.14;polylogue-oxz,,polylogue/archive/query/execution_control.py,both=1,export regressed after later claim; restore in_progress and rewrite to residual work,query-execution,restore in_progress; retain execution core/fairness; move surface residuals to z9gh.9.1; depend on 4s3c,2026-07-16T12:56:52Z,2026-07-17T00:25:42Z,area:mcp;area:perf;area:query;horizon:frontier;incident:memory
