package_no,sha256,download_timestamp,conversation_id,conversation_title,mission,zip_bytes,uncompressed_bytes,member_count,dominant_content,largest_member,patch_count,touched_path_count,disposition,delivery_state,delivery_constraint_kind,primary_bead,final_owner,owner_state,direct_pr,direct_merge_commit,preserved_branch,current_master_evidence
1,8f37aa16b083c357c32b426d44379c96ef49acd692f7b569b2d5f4d8fc8470fd,20260715-230840,6a57e0b9-b3fc-83ed-9e7a-9fcf172698a3,Implementation-grade Handoff,Implementation-grade Handoff,8388608,8384388,32,patch,PATCHES/REPLACEMENTS.tar (8054930 bytes),5,19,already_subsumed,already_subsumed,,polylogue-yyvg.5,polylogue-yyvg.5 / polylogue-yyvg.6,polylogue-yyvg.5=closed; polylogue-yyvg.6=in_progress,,,,"PRs #2913, #2918, #2919, #2926, and #2928; current master removed campaign-specific product concepts."
2,5e2363a19a6493b93446a5feff75ff4047bebd5e2ca7f8eb0de62526117ed77e,20260716-024407,6a57f420-1bb0-83ed-8205-6cf85427736f,Lineage order independence,Lineage order independence,40844,163175,21,design_docs_metadata,DESIGN/production-path.md (89725 bytes),3,4,merged,merged,,polylogue-866e,polylogue-866e,polylogue-866e=open,2922,b55f3fd9697083d44466613091604a21c7324ae6,,"PR #2922, merge b55f3fd9697083d44466613091604a21c7324ae6."
3,4ddd843c064bd1ddc06cd39500a0ca4898e4f01bbbf7aa350ac86207402ef2ed,20260716-024440,6a57fc1e-0cec-83eb-b0e9-bcaea3e722b8,Definition closure graph,Definition closure graph,47850,226639,23,patch,TESTS/definition-closure-report.json (87426 bytes),3,6,incorporated_pending_delivery,awaiting_dependency,dependency_wait,polylogue-9e5.31.1,polylogue-9e5.31.1,polylogue-9e5.31.1=open,,,,Current polylogue-9e5.31.1 is open and explicitly awaits the DeclarationSpec kernel polylogue-o21.1.
4,733092b30e6427c26096211d0603e824f0709e2e6632c488ad07728307b9703d,20260716-024453,6a57f377-2000-83ed-9567-bc875a00a61a,Provider-native identity,Provider-native identity,8388608,8352893,23,fixture_snapshot_archive,DESIGN/SNAPSHOT-AUDIT-APPENDIX.md (8080559 bytes),4,20,research_incorporated,research_incorporated,,polylogue-yyvg.4,polylogue-06zm.1 / polylogue-jlme.5,polylogue-06zm.1=closed; polylogue-jlme.5=open,,,,Current generic BrowserAction transport in PR #2928 and CaptureJob bead design own the executable form.
5,2d66993b4890e71119d5609707572d23fccba13989a0ab228676651d1e9e7f8c,20260716-024506,6a57fba2-0ffc-83ed-8d59-59e703412080,Continuity oracles,Continuity oracles,1048576,1045374,24,fixture_snapshot_archive,TESTS/archive-integrity-sentinel.bin (853673 bytes),3,14,rejected,rejected,,polylogue-t8t,polylogue-t8t,polylogue-t8t=open,,,,PR #2922 records that the patch covered two of seven routes and introduced a competing scenario seam.
6,ca9526ba04461c369bb82127a5e730770ed55bcce5d09fb4169d1babacbd5966,20260716-024516,6a57f4d4-2000-83eb-a721-0e6363e958c0,Bounded query transaction A,Bounded query transaction A,4194304,4188698,15,fixture_snapshot_archive,TESTS/fixtures/cancellation-load.sqlite3 (4063232 bytes),1,9,incorporated_pending_delivery,awaiting_dependency,dependency_wait,polylogue-z9gh.1,polylogue-z9gh.1,polylogue-z9gh.1=open,,,,Current polylogue-z9gh.1 owns a shared execution-control layer; no current-master executor exists.
7,0a91ceaa6451a7d301278d6eda35af1fb252f98d51a7f562f119df8726330cec,20260716-024523,6a57f4d4-2000-83eb-a721-0e6363e958c0,Bounded query transaction B,Bounded query transaction B,4194304,4192372,15,fixture_snapshot_archive,TESTS/fixtures/serialization-budget-boundary.jsonl (4034424 bytes),1,8,superseded_or_duplicate,superseded_or_duplicate,,polylogue-z9gh.1,polylogue-z9gh.1,polylogue-z9gh.1=open,,,,Same conversation and semantic target; canonical shared transaction is polylogue-z9gh.1/.9.
8,0a73157c0c53f17e1ebe8b5a60a51adede11e7e563d8fd1651403e2d5777973e,20260716-024540,6a580996-4d8c-83eb-b1d4-8226a72bf21d,Stable receiver pairing,Stable receiver pairing,3000000,2976647,14,fixture_snapshot_archive,TESTS/archive-integrity-corpus.bin (2958497 bytes),1,4,research_incorporated,research_incorporated,,polylogue-jlme.5,polylogue-jlme.5,polylogue-jlme.5=open,,,,PRs #2926/#2928 landed identity/pairing diagnostics; two-profile proof remains open in polylogue-jlme.5.
9,542278830b909d48bd1418a2b93987f2e381a1cf35019070722baa563b5fd566,20260716-024553,6a580989-2a80-83ed-8fdf-1f24543905d7,Destructive-operation authorization (early),Authorize and receipt every destructive operation with domain-owned plans and actuators.,57982,266398,22,design_docs_metadata,DESIGN/census.json (124202 bytes),3,3,superseded_or_duplicate,superseded_or_duplicate,,polylogue-kwsb.2,polylogue-kwsb.2,polylogue-kwsb.2=open,,,,Later MutationTransaction package 76a1279fe519 is the canonical iteration.
10,073651c8d9b3f00a0da1956269abf6cd0d37be9f9afd2ca92e24524d00d69437,20260716-024606,6a58079b-0f70-83eb-af7e-7ab72440c8eb,Query discovery A,Generate Polylogue agent query discovery from executable query declarations and eliminate parser-invalid product curriculum.,65443,228491,13,patch,PATCHES/0001-feat-query-declare-executable-discovery-contracts.patch (104689 bytes),3,17,incorporated_pending_delivery,awaiting_dependency,dependency_wait,polylogue-z9gh.3,polylogue-z9gh.3,polylogue-z9gh.3=open,,,,Current polylogue-z9gh.3 remains open and depends on the unified query lane.
