id,title,priority,status,type,lane,release,urgency_tier,readiness,hard_blockers,active_dependency_edges,acceptance_criteria_present,packet_available,description_short
polylogue-37t.15,"Single agent-write chokepoint in upsert_assertion: non-user authors => CANDIDATE + inject:false, always",P1,open,task,00-trust-floor,A-trust-floor,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,,parent-child:polylogue-37t,True,True,"Known live hole (R&D-confirmed): blackboard_post lets an agent write author_kind=agent rows that land status=ACTIVE — an agent claim can self-inject as authoritative TODAY. Fix at the ONE chokepoint, not per-path: insid…"
polylogue-83u.4,"Classify the 39,586 missing referenced blobs in the production backup",P1,open,task,00-trust-floor,A-trust-floor,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,,parent-child:polylogue-83u,True,True,"Backup verifier warns 'referenced blobs missing: 39586'. Likely dominated by the pre-v13 synthetic attachment rows — classify via ops maintenance blob-reference-debt, split real acquisition debt from by-construction fak…"
polylogue-8jg9.4,ops doctor cleanup_orphans can delete an in-flight leased blob (the real #818),P1,open,bug,00-trust-floor,A-trust-floor,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,,parent-child:polylogue-8jg9;related:polylogue-8jg9.2,True,True,"run_blob_gc is lease/ref/generation-safe, but the ops-doctor path (BlobStore.detect_orphans/cleanup_orphans) compares disk against caller-supplied ids only — VERIFIED LIVE 2026-07-06: blob_store.py contains zero referen…"
polylogue-9e5.28,"Rigor audit iterates contracts, not the registry: uncovered number-bearing products vanish from audit",P1,open,bug,00-trust-floor,A-trust-floor,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,,parent-child:polylogue-9e5,True,True,"_RIGOR_MATRIX covers ~5 of 11 number-bearing insight products; audit.py iterates declared contracts, so a product with NO contract silently disappears from the audit instead of showing as uncovered — cost/coverage/tool/…"
polylogue-9e5.29,Number-over-empty gates: quantitative fields need field-level evidence contracts,P1,open,bug,00-trust-floor,A-trust-floor,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,,parent-child:polylogue-9e5,True,True,"Products can emit 0.0 (a number) when backing rows are empty/NULL — a rendered zero is a claim, and absent evidence must render as None/uncovered, never zero. Add field-level RigorFieldContract for number fields: proven…"
polylogue-9e5.30,Prose-mined forensic fields must carry text_derived provenance in the payload model,P1,open,bug,00-trust-floor,A-trust-floor,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,,parent-child:polylogue-9e5,True,True,transforms.py mines commit SHAs / decisions / caveats / test-pass counts from prose into forensic bundles while the no-regex-over-prose rule only structurally holds for the exit-code axis; the recovery-digest incident (…
polylogue-cpf.5,Temporal provenance laundering: aggregates collapse to provider_ts; propagate the weakest source,P1,open,bug,00-trust-floor,A-trust-floor,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,,parent-child:polylogue-cpf,True,True,"classify_aggregate_hwm_source (temporal_source.py) launders weak timestamp provenance into provider_ts, so freshness/staleness surfaces look better-grounded than they are. Fix is two-level: aggregate inputs become typed…"
polylogue-cpf.6,Temporal correctness: clock seam for relative-date parsing + targeted sort_key_ms audit,P1,open,bug,00-trust-floor,A-trust-floor,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,,parent-child:polylogue-cpf,True,True,(1) core/dates.py:37 sets RELATIVE_BASE = datetime.now(tz=utc) PER CALL inside parse_date (verified live 2026-07-06 — the earlier 'frozen at import' claim was wrong; a long-lived daemon does NOT drift). The real defect:…
polylogue-kwsb.1,"Daemon/capture security hardening: Host/Origin gate, receiver token, spool governor",P1,open,bug,00-trust-floor,A-trust-floor,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,,parent-child:polylogue-kwsb,True,True,"Three confirmed holes (red-team, multiple independent confirmations): (1) DNS REBINDING reads the whole archive — GET routes have no Host check and Origin is checked only on POST and skipped when absent, so a malicious …"
polylogue-s7ae.6,Classify the 74%-aborted full verify from the coordination commit before deploy,P1,in_progress,task,00-trust-floor,A-trust-floor,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,,parent-child:polylogue-s7ae,True,True,"Commit 32ff31651 (coordination substrate, ~1376 LOC) merged with only verify --quick + focused tests green; the full devtools verify was aborted at 74% with scattered unclassified failures. Until each failure is classif…"
polylogue-83u,"Attachment & blob evidence integrity: bytes exist, are honest, and stay affordable",P1,open,epic,01-blob-attachment-integrity,B-storage-byte-integrity,T0-stop-the-line-or-P1,epic-needs-child-closure,,relates-to:polylogue-38x,True,True,"Attachments are metadata-only by construction: 8,425 rows claim 8.4GB, 0 blobs exist, 56% zero-byte; blob_hash was synthetic until v13 made it honest-nullable with acquisition_status. This program makes attachment/blob …"
polylogue-83u.3,Preserve uploaded attachment bytes in live browser capture,P1,open,feature,01-blob-attachment-integrity,B-storage-byte-integrity,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,,parent-child:polylogue-83u,True,True,"chatgpt-dom-v1 records the attachment chip (name + DOM text), not the uploaded bytes (byte_count=0) — the bytes live on provider servers. Needs a capture-side acquisition path. GH issue thread (body + comments) is input…"
polylogue-4ts,"Session lineage truth: shared content stored once, counted once, composed correctly",P1,open,epic,03-lineage-compaction-truth,F-lineage-compaction,T0-stop-the-line-or-P1,epic-needs-child-closure,,relates-to:polylogue-38x,True,True,Fork/resume/compaction share content; storage+aggregates ignored it. v12-v14 landed prefix-dedup + composition; this program owns the residuals. Design doc docs/design/session-lineage-model.md. Operator: 'broken unless …
polylogue-37t.11,Context scheduler: one arbiter for everything that enters an agent's context,P1,open,feature,06-agent-context-coordination,D-agent-context-coordination,T0-stop-the-line-or-P1,blocked-hard,polylogue-37t.12;polylogue-37t.15,relates-to:polylogue-1hj;relates-to:polylogue-1jc;parent-child:polylogue-37t;blocks:polylogue-37t.12;blocks:polylogue-37t.15;relates-to:polylogue-3gd;relates-to:polylogue-4smp;relates-to:polylogue-bfv;relates-to:polylogue-gjg;relates-to:polylogue-mhx.4;relates-to:polylogue-rvh;relates-to:polylogue-s7ae,True,True,"The missing 40% of the OS-vision design, and the coherence fix for a real fragmentation risk: as of today SEVEN independent mechanisms want to write into agent context, each with its own budget rules — repo brief + resu…"
polylogue-3gd,Activation layer: the agent-side setup that makes the substrate get used at all,P1,open,feature,06-agent-context-coordination,D-agent-context-coordination,T0-stop-the-line-or-P1,blocked-hard,polylogue-d1y;polylogue-pj8,parent-child:polylogue-37t;blocks:polylogue-d1y;blocks:polylogue-pj8,True,True,"Operator directive (2026-07-03), verbatim intent: everything built here — assertions, annotation protocol, blackboard, judge/note verbs, MCP tools, remote control — is WASTED WORK if agents do not actually use it, and a…"
polylogue-ahqd,Observe MCP write adoption after role rollout,P1,open,task,06-agent-context-coordination,D-agent-context-coordination,T0-stop-the-line-or-P1,blocked-hard,polylogue-s7ae.2,parent-child:polylogue-s7ae;blocks:polylogue-s7ae.2,True,True,"Why: polylogue-27p made full/evidence/browser agent profiles write-capable and mutation rows author-attributed, but the current Codex process predates the Home Manager activation. The adoption proof should be collected …"
polylogue-d1y,polylogue hooks install: one-command harness wiring + hook liveness monitoring,P1,open,feature,06-agent-context-coordination,D-agent-context-coordination,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,,parent-child:polylogue-s7ae,True,True,"Hooks are the highest-fidelity capture channel (event-granularity, 100% coverage vs ~79% post-hoc per docs/hooks.md) and the enabling substrate for context injection — yet wiring them is manual settings.json surgery per…"
polylogue-pj8,Agent query cookbook: MCP prompts + skill recipes as the discoverability layer,P1,open,feature,06-agent-context-coordination,D-agent-context-coordination,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,,parent-child:polylogue-s7ae,True,True,Agents use what is in their face and skip what requires invention (jgp doctrine). The MCP server exposes ~61 read tools; nothing teaches an agent WHICH five matter for the common intents: 'what was I doing in this repo'…
polylogue-s7ae,Agent coordination substrate: evidence-backed multi-agent work without tracker lock-in,P1,open,epic,06-agent-context-coordination,D-agent-context-coordination,T0-stop-the-line-or-P1,epic-needs-child-closure,,relates-to:polylogue-37t.11,True,True,"Why: Polylogue should make concurrent agent work operational, not merely visible. The target is a general coordination evidence layer over sessions, topology, repos/worktrees, work items, activity/resource episodes, con…"
polylogue-s7ae.2,Pre-deployment MCP and hook coordination batch,P1,open,task,06-agent-context-coordination,D-agent-context-coordination,T0-stop-the-line-or-P1,blocked-hard,polylogue-pj8,blocks:polylogue-pj8;parent-child:polylogue-s7ae,True,True,Why: the coordination program will require MCP prompt/tool updates and harness/hook rollout. Deployment should not happen piecemeal after every small MCP change. Before asking for a Sinnix/Home Manager switch or other d…
