norm_sql,async_locations,sync_locations
DELETE FROM attachment_refs WHERE session_id = ?,polylogue/storage/sqlite/queries/attachment_mutations.py:43 prune_attachments,polylogue/storage/sqlite/archive_tiers/write.py:3756 _delete_all_session_message_dependents
DELETE FROM sessions WHERE session_id = ?,polylogue/storage/sqlite/queries/sessions_writes.py:49 delete_session_sql,polylogue/storage/sqlite/archive_tiers/archive.py:3833 ArchiveStore.delete_sessions
DELETE FROM threads WHERE thread_id = ?,polylogue/storage/sqlite/queries/session_insight_thread_queries.py:128 replace_thread,polylogue/storage/sqlite/archive_tiers/write.py:2274 _refresh_thread
"INSERT OR REPLACE INTO raw_sessions ( raw_id, origin, native_id, source_path, source_index, blob_hash, blob_size, acquired_at_ms, file_mtime_ms, parsed_at_ms, parse_error, validated_at_ms, validation_status, validation_error, validation_drift_count, validation_mode, detection_warnings_json ) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)",polylogue/storage/sqlite/async_sqlite_raw.py:118 SQLiteRawMixin.save_raw_session,polylogue/storage/sqlite/archive_tiers/source_write.py:239 write_source_raw_session
PRAGMA foreign_keys = ON,polylogue/storage/sqlite/async_sqlite_raw.py:115 SQLiteRawMixin.save_raw_session,polylogue/storage/sqlite/archive_tiers/archive.py:3828 ArchiveStore.delete_sessions; polylogue/storage/sqlite/archive_tiers/archive.py:777 ArchiveStore._ensure_source_conn; polylogue/storage/sqlite/archive_tiers/bootstrap.py:78 initialize_archive_tier; polylogue/storage/sqlite/archive_tiers/source_write.py:226 write_source_raw_session; polylogue/storage/sqlite/archive_tiers/source_write.py:318 write_source_raw_session_blob_ref; polylogue/storage/sqlite/archive_tiers/user_write.py:402 upsert_suppression; polylogue/storage/sqlite/archive_tiers/user_write.py:428 upsert_mark; polylogue/storage/sqlite/archive_tiers/user_write.py:522 upsert_annotation; polylogue/storage/sqlite/archive_tiers/user_write.py:550 upsert_correction; polylogue/storage/sqlite/archive_tiers/user_write.py:923 upsert_assertion; polylogue/storage/sqlite/archive_tiers/write.py:258 write_parsed_session_to_archive; polylogue/storage/sqlite/archive_tiers/write.py:658 upsert_session_profile_costs; polylogue/storage/sqlite/archive_tiers/write.py:750 upsert_insight_materialization; polylogue/storage/sqlite/archive_tiers/write.py:810 upsert_session_tag; polylogue/storage/sqlite/archive_tiers/write.py:942 upsert_session_work_event; polylogue/storage/sqlite/archive_tiers/write.py:1058 upsert_session_phase
PRAGMA user_version,polylogue/storage/sqlite/async_sqlite.py:128 _read_schema_ready,polylogue/storage/sqlite/archive_tiers/archive.py:763 ArchiveStore._ensure_read_runtime_indexes; polylogue/storage/sqlite/archive_tiers/archive_plan.py:129 _read_user_version; polylogue/storage/sqlite/archive_tiers/bootstrap.py:156 initialize_archive_database
SELECT 1 FROM sqlite_master WHERE type = 'table' AND name = ? LIMIT 1,polylogue/storage/sqlite/queries/session_insight_run_projection_reads.py:45 _table_exists,polylogue/storage/sqlite/archive_tiers/archive.py:8105 _table_exists; polylogue/storage/sqlite/archive_tiers/user_audit.py:125 _table_exists
SELECT parent_session_id FROM sessions WHERE session_id = ?,polylogue/storage/sqlite/queries/session_links.py:107 _would_create_cycle; polylogue/storage/sqlite/queries/sessions_writes.py:22 delete_session_sql,polylogue/storage/sqlite/archive_tiers/archive.py:1123 ArchiveStore._root_session_id_for_tree
SELECT raw_id FROM sessions WHERE session_id = ?,polylogue/storage/sqlite/queries/raw_reads.py:291 get_raw_records_for_session,polylogue/storage/sqlite/archive_tiers/archive.py:850 ArchiveStore._write_parsed_precedence_result; polylogue/storage/sqlite/archive_tiers/archive.py:1144 ArchiveStore.raw_artifacts_for_session
"SELECT resolved_dst_session_id, branch_point_message_id FROM session_links WHERE src_session_id = ? AND inheritance = 'prefix-sharing' AND resolved_dst_session_id IS NOT NULL AND branch_point_message_id IS NOT NULL LIMIT 1",polylogue/storage/sqlite/queries/message_query_reads.py:69 _prefix_sharing_edge,polylogue/storage/sqlite/archive_tiers/write.py:3434 _composed_db_signatures; polylogue/storage/sqlite/archive_tiers/write.py:3899 _prefix_sharing_edge_sync
SELECT session_id FROM sessions WHERE session_id = ?,polylogue/storage/sqlite/queries/sessions_identity.py:29 resolve_id,polylogue/storage/sqlite/archive_tiers/archive.py:2316 ArchiveStore.resolve_session_id; polylogue/storage/sqlite/archive_tiers/archive.py:2325 ArchiveStore.resolve_session_id
"f""PRAGMA table_info({table})""",polylogue/storage/sqlite/queries/session_insight_profile_writes.py:26 _table_has_column; polylogue/storage/sqlite/queries/session_insight_timeline_writes.py:33 _table_has_column,polylogue/storage/sqlite/archive_tiers/ops_write.py:774 _table_has_column
query,polylogue/storage/sqlite/queries/message_query_reads.py:351 get_messages_paginated; polylogue/storage/sqlite/queries/message_query_reads.py:259 get_messages_batch; polylogue/storage/sqlite/queries/message_query_reads.py:546 iter_messages; polylogue/storage/sqlite/queries/raw_reads.py:322 get_raw_session_count; polylogue/storage/sqlite/queries/sessions_reads.py:219 list_sessions; polylogue/storage/sqlite/queries/sessions_reads.py:315 list_session_summaries,polylogue/storage/sqlite/archive_tiers/ops_write.py:416 list_cursor_lag_samples; polylogue/storage/sqlite/archive_tiers/ops_write.py:487 list_daemon_stage_events; polylogue/storage/sqlite/archive_tiers/ops_write.py:579 list_embedding_catchup_runs; polylogue/storage/sqlite/archive_tiers/ops_write.py:698 list_otlp_spans; polylogue/storage/sqlite/archive_tiers/self_verify.py:105 _count; polylogue/storage/sqlite/archive_tiers/self_verify.py:109 _string_list; polylogue/storage/sqlite/archive_tiers/source_write.py:526 list_raw_artifacts; polylogue/storage/sqlite/archive_tiers/source_write.py:570 list_hook_events
sql,polylogue/storage/sqlite/queries/attachment_records.py:251 search_attachment_identity_evidence_hits; polylogue/storage/sqlite/queries/raw_reads.py:116 iter_raw_ids; polylogue/storage/sqlite/queries/raw_reads.py:142 iter_raw_headers; polylogue/storage/sqlite/queries/session_insight_profile_reads.py:116 list_session_profiles; polylogue/storage/sqlite/queries/session_insight_run_projection_reads.py:82 list_runs; polylogue/storage/sqlite/queries/session_insight_run_projection_reads.py:118 list_observed_events; polylogue/storage/sqlite/queries/session_insight_run_projection_reads.py:152 list_context_snapshots; polylogue/storage/sqlite/queries/session_insight_summary_queries.py:45 list_session_tag_rollup_rows; polylogue/storage/sqlite/queries/session_insight_thread_queries.py:117 list_threads; polylogue/storage/sqlite/queries/session_insight_timeline_reads.py:256 list_work_events; polylogue/storage/sqlite/queries/session_insight_timeline_reads.py:304 list_session_phases; polylogue/storage/sqlite/queries/session_latency_profile_reads.py:104 list_session_latency_profiles; polylogue/storage/sqlite/queries/sessions_identity.py:89 count_session_ids; polylogue/storage/sqlite/queries/sessions_identity.py:101 iter_session_ids; polylogue/storage/sqlite/queries/sessions_reads.py:386 count_sessions; polylogue/storage/sqlite/queries/sessions_search.py:37 search_session_hits; polylogue/storage/sqlite/queries/sessions_search.py:121 search_action_session_hits,polylogue/storage/sqlite/archive_tiers/archive.py:8100 _count_scalar; polylogue/storage/sqlite/archive_tiers/user_write.py:1516 list_assertions_for_export; polylogue/storage/sqlite/archive_tiers/user_write.py:1582 list_assertion_claims
statement,polylogue/storage/sqlite/async_sqlite.py:55 _apply_pragma_statements_async,polylogue/storage/sqlite/archive_tiers/archive.py:727 ArchiveStore.__init__; polylogue/storage/sqlite/archive_tiers/archive.py:767 ArchiveStore._ensure_read_runtime_indexes
