rank,concept,classification,current_authority,competing_copy_or_projection,observed_effect,decision,tracker
1,query_units grammar and recipes,unresolved collision,archive/query parser and shared query-unit request builder,MCP prompt literal recipes,"two real prompt recipes return invalid_query",generate and execute recipes from query declarations,polylogue-z9gh.3
2,maintenance target semantics,unresolved collision,maintenance target catalog for identity,"replay dispatch plus preview/repair handler maps and split orchestrators","7 advertised; replay 6; planner 7; CLI failed exit 0",one target execution declaration consumed by all surfaces,polylogue-71ey
3,configuration effective values,unresolved collision,no single complete authority,"inventory defaults coercion sets legacy Config direct env reads nested decoders","partial nested override deletes inherited siblings; 16 known-var bypass reads",typed key declaration plus one resolver and derived legacy adapter,polylogue-9gh1
4,embeddings schema and writers,unresolved collision,archive-tier embeddings DDL by repository doctrine,runtime sqlite-vec DDL and legacy writer,"create order determines origin vs source_name and breaks the other writer",canonical parameterized tier DDL and one writer contract,polylogue-mhx.7
5,MCP tool surface,unresolved multi-authority currently aligned,runtime registration,"expected names contract map minimal invocation map test-sourced docs manual count","104 sets align; docs arrow is reversed; instructions say 103",production MCPToolSpec generates all projections,"polylogue-o21; polylogue-t46.8.1"
6,daemon routes and auth,projection/execution split currently parity-guarded,HTTP dispatcher for execution,RouteContract and OpenAPI metadata,"77 paths align; POST/DELETE do not consume auth_policy",RouteSpec drives router auth and OpenAPI,polylogue-3utv
7,Python facade routing status,unresolved validation mirror,actual Polylogue methods and store calls,static facade route catalog,"141 catalog entries vs 146 public callables; 5 unclassified",semantic OperationSpec plus explicit exclusions,"polylogue-s1kr; polylogue-9e5.31"
8,devtools commands,unresolved bypass,CommandSpec dispatcher for registered commands,three direct workflow/hook module or script calls,"catalog cannot claim complete capability inventory",route calls through catalog or sanctioned bypass manifest,polylogue-l8ee
9,durable user schema,compatibility copies plus incomplete projection,fresh USER_DDL for current schema,numbered migrations plus hand required-table list,"fresh 15 tables; test subset 13 omits two",retain migrations and derive exact fresh-versus-upgraded manifest,polylogue-ihp0
10,user_settings capability,dead declared capability and compatibility schema copy,current tracker decision to keep and wire,"fresh DDL migration status docs tests","no runtime helper reader writer or consumer",typed key registry storage twins and first cost consumer,polylogue-at44
