change_id,priority,action,source_id,relation,target_id,phase,evidence,preserve,falsification
G01,P0,restore-status,polylogue-z9gh.1,status,in_progress,tracker-repair,Export row updated 2026-07-16T12:56:52Z is older than per-ID Git history row updated 2026-07-17T00:25:42Z at 6610f3b0; later row is in_progress and assigned Sinity.,"Keep PR #2964 implementation evidence and residual fairness, scale, migration, disconnect, and resumed-receipt obligations.","A still later row for z9gh.1, or a merged close commit whose issue record is newer than 00:25:42Z."
G02,P1,restore-status,polylogue-xnws,status,closed,tracker-repair,Export row updated 2026-07-16T23:43:40Z is older than Git history row updated/closed 2026-07-16T23:59:23Z at 6610f3b0; close reason cites merged PR #2963.,"Keep the 266→35 calibrated census, all 35 classifications, 14 direct fixes, and the explicit 160-site lower-tier disposition.",A later valid reopen record with new residual acceptance criteria.
G03,P1,supersede-close,polylogue-20d.17,supersedes,polylogue-703,tracker-repair,20d.17 has the only active→active supersedes edge and its note explicitly says it absorbs 703; 20d.17 defines the stronger component-snapshot protocol.,"Move 703 fact inventory, one-assembly invariant, and CLI/daemon/MCP/Python/web parity plus citation-drift fixture into 20d.17.",A source path where 703 owns semantics not expressible as a StatusComponentSpec component/projection.
G04,P1,supersede-close,polylogue-kwsb.2,supersedes,polylogue-t46.9,tracker-repair,kwsb.2 requires a shared transaction protocol and explicitly rejects a universal mutation executor; t46.9 requires a universal OperationExecutor. Current operation_contract.py documents removal of the previous speculative generic framework.,"Map OperationSpec inventory to domain PlanSpec/actuators, derive surface help/schema/role discovery, retire direct adapter calls after parity, retain storage guards.",Two production mutation domains already share one concrete executor without erasing domain-owned planning/actuation semantics.
G05,P1,remove-hard-add-soft,polylogue-avmq,blocks→relates-to,polylogue-yp0,graph-repair,"avmq calls EventBus adjacent transport, not lifecycle authority. yp0 core exists but has no production references outside its module. The edge makes P1 supervision wait on P3 transport wiring.",Keep yp0 event vocabulary/failure isolation and let it consume the future service registry downstream.,A service-supervisor acceptance criterion that cannot be implemented without a wired EventBus.
G06,P0,add-hard-dependency,polylogue-hjpx,blocks,polylogue-hjpx.2,graph-repair,hjpx acceptance requires the July-15-shaped bounded convergence proof; hjpx.2 is that proof and says hjpx AC6 remains unproven.,Keep the fixed-point executor separate from the scale harness while making proof an explicit completion prerequisite.,"hjpx acceptance is rewritten to exclude scale closure, or equivalent accepted proof is attached elsewhere."
G07,P0,add-hard-dependency,polylogue-yla8,blocks,polylogue-hjpx,graph-repair,yla8 notes retain the live authorization gate only after the successor fixed-point proof; hjpx says it is the executable successor to the failed live gate.,"Keep operator authorization, stopped-daemon/backup/quiescence checks, and live receipts outside the code implementation branch.",A reviewed live gate that does not rely on fixed-point executable-plan conservation.
G08,P0,retain-edge,polylogue-lkrc,blocks,polylogue-yla8,graph-validation,Existing edge correctly keeps final authority/reconciler closure behind the authorized live gate.,"Classification, immutable plan identity, postflight census, and accountable closure.",lkrc is redefined as purely offline classification with no live closure acceptance.
G09,P0,add-hard-dependency,polylogue-z9gh.1,blocks,polylogue-4s3c,graph-repair,z9gh.1 residual AC requires live RSS/PSS/swap steady-state proof; the later z9gh.1 row delegates this envelope to 4s3c.,Execution core/fairness remains z9gh.1; live-scale envelope proof remains 4s3c.,An accepted z9gh.1 live-scale receipt already covers 4s3c scope.
G10,P0,move-residual-scope,polylogue-z9gh.1,consumer-ownership,polylogue-z9gh.9.1,description-rewrite,"Shared execution_control.py is implemented and used by one API, MCP, and HTTP query path, while many direct MCP/HTTP reads remain. z9gh.9.1 owns transaction/paging/disconnect/resume semantics.","Move remaining direct read-site migration, HTTP disconnect, and resumed receipt work; retain cross-class fairness in z9gh.1.",Remaining direct opens are proven outside query transaction scope or mutation-only.
G11,P1,add-hard-dependency,polylogue-z9gh.3,blocks,polylogue-o21.1,graph-repair,z9gh.3 needs a query declaration registry; o21.1 is the shared storage-free declaration kernel and no declarations package exists yet.,z9gh.3 keeps query semantics/lowering; o21.1 owns declaration identity/completeness substrate.,o21.1 explicitly excludes query declarations or current source lands a distinct approved kernel.
G12,P1,add-hard-dependency,polylogue-9e5.31.1,blocks,polylogue-o21.1,graph-repair,"9e5.31.1 notes say DefinitionClosureGraph waits for and consumes o21.1, but the graph has no hard edge.",Definition closure remains its own semantic graph and must not become a declaration registry.,The closure graph can be completed without declaration identity/ownership/completeness.
G13,P1,add-hard-dependency,polylogue-71ey,blocks,polylogue-o21.1,graph-repair,Maintenance has both MaintenanceTargetSpec and a separate private _REPLAY_DISPATCH; 71ey is the pilot to unify them through the shared kernel.,"Maintenance target semantics, unsupported-target typed failure, and superseded_raw_snapshots regression.",71ey is narrowed to a local repair-table fix with no declaration-kernel dependency.
G14,P2,add-hard-and-soft-relations,polylogue-rii.1,blocks+relates-to,polylogue-o21.1;polylogue-37t.2.1,graph-repair,rii.1 says marker kinds and work-event kinds are one channel with two encodings. 37t.2.1 already depends on o21.1; source has session_events but no record_work_event/emit_decision API.,One event-kind vocabulary; separate marker parser/lowering and work-event emission adapters; no marker-specific tables.,Product decision changes to genuinely separate channels with different durable identity/retention semantics.
G15,P0,add-soft-relation,polylogue-yyvg.7,relates-to,polylogue-3v1,graph-repair,UX exception/attention policy consumes capture truth and gap evidence from 3v1 but does not own capture authority.,yyvg.7 presentation/convergence semantics and 3v1 durable capture/status semantics.,yyvg.7 acceptance can be verified without capture-state evidence.
G16,P1,reparent,polylogue-b054.1.1,parent-child,polylogue-88jp,graph-repair,"b054.1 is closed audit work, while b054.1.1 is an active verification harness/proof owner. It is the only active child with a closed parent; 88jp is the active verification-risk program.",Retain a historical relates/discovered link to b054.1 and all child proof slices.,"b054.1 is reopened as the durable implementation program, or another active verification parent is adopted."
G17,P1,normalize-claims-and-order,polylogue-1xc.14.1,execution-order,1xc.14.1.1→1xc.14.1.2→1xc.14.1.3→parent closure,tracker-repair,"Root and all three children are simultaneously in_progress on the same source hotspot. Canonical origin includes journal replay fixes, but privacy/promotion and catalog-default semantics remain distinct.","Replay/memory/cancellation proof, privacy promotion audit, catalog role/default semantics, then joint live canaries.",Independent branches can modify disjoint files with independent acceptance and no shared generated artifacts.
G18,P1,add-regression-fixtures,polylogue-gxjh.1,validates,polylogue-z9gh.1;polylogue-xnws,acceptance-rewrite,Both rows demonstrate ordinary branch reimport restoring an older valid row. CLAUDE.md documents this exact hazard; current guard compares updated_at only around hooks.,"Per-row latest revision, status, assignee, parent/dependencies, close reason, atomic import/export, and receipts.",A different mechanism is proven responsible for either regression.
G19,P1,rewrite-shipped-vs-residual,polylogue-ptx;polylogue-3v1;polylogue-yyvg.7,description,current-source-residuals,description-rewrite,"BrowserActionIntent/Receipt, receiver authority, outcome_unknown, and extension worker are present; remaining live-provider/project/failure and convergence evidence is not fully proved.","Transport/receipt, capture truth, and UX policy remain separate authorities; serialize shared extension/receiver writes.",Source removal or a newer accepted live proof closes all residuals.
