concept,surface,entry_point,actual_call_path,semantic_owner,projection,origin_provider_vocabulary,identity,absence_error_provenance,pagination,authorization,classification,observed_divergence_or_rationale,owning_beads
session list,CLI daemon mode,cli/archive_query.py:_try_emit_daemon_session_page,CLI request -> daemon /api/sessions -> CLI normalizer/envelope,SessionQuerySpec + archive store; missing shared transaction,legacy CLI row fields/text/json/yaml,origin,archive session id/TargetRef,daemon route_state/diagnostics partially retained,offset; list next_offset derived; cursor discarded,local client to daemon credential policy,divergent,path-dependent totals and no cursor,4p1.1;z9gh.9.1;yeq.3
session list,CLI direct mode,cli/archive_query.py direct dispatch/_emit_list,compiled spec -> local ArchiveStore.list_summaries -> local envelope,SessionQuerySpec/ArchiveStore,legacy CLI row fields/text/json/yaml,origin,archive session id,empty list success,local cursor; total is page length,OS/process authority,divergent,total means page count,z9gh.9.1;yeq.3
ranked search,CLI daemon mode,cli/archive_query.py:_emit_daemon_search_payload,daemon SearchEnvelope-like JSON -> CLI envelope,canonical query intent; daemon execution path varies,CLI items envelope,origin,session and match refs when supplied,degraded payload handled separately,next_offset and next_cursor forced null,OS/process plus daemon auth,divergent,successful page becomes non-resumable,4p1.1;z9gh.9.1
ranked search,CLI direct mode,cli/archive_query.py:_emit_search,local ArchiveStore search -> hit hydration -> local envelope,SessionQuerySpec/ArchiveStore,CLI items rather than SearchEnvelope.hits,origin,archive refs in hit payload,no-result exit behavior,cursor supported; total is page length,OS/process authority,divergent,logical total contract not preserved,z9gh.9.1;yeq.3
session list/search,Python API,api/archive.py list/search families,Polylogue method -> direct ArchiveStore or spec methods,domain/store; facade is adapter,typed domain objects or SearchEnvelope,mostly origin; legacy search keyword named source,archive ids,None/empty varies by method; typed diagnostics in envelope,several independent limit/offset/cursor paths,caller process authority,duplicate,overlapping methods independently execute/count,hiu;s1kr;1fp;z9gh.9.1
ranked search,Python API,api/archive.py:search_envelope,kwargs + expression -> spec -> direct fetch/count -> build_search_envelope,SessionQuerySpec + shared payload builder; missing shared transaction,typed SearchEnvelope,origin,target refs in hits,typed invalid cursor/diagnostics,cursor logic duplicated from shared spec builder,caller process authority,partial,uses shared shape but duplicates execution orchestration,z9gh.9.1;1fp
session query,Repository,storage/repository SessionRepository,async repository -> separate async SQLite backend,"legacy storage twin, not canonical by name",domain records,legacy source aliases coexist,archive ids/domain records,repository-specific Optional/list behavior,separate async paging,caller process authority,duplicate,parallel storage/query implementation,hiu
session list/search,Daemon canonical mode,daemon/http.py:_do_list/_do_search_list,route params -> SessionQuerySpec -> filter/spec count or shared envelope builder,SessionQuerySpec + domain/store,web JSON rows/SearchEnvelope,origin,TargetRef/anchors,route_state + diagnostics,offset/cursor via canonical builder for search,credential policy for reads,mostly aligned,list and search still not under one transaction,z9gh.9.1
session list/search,Daemon split mode,daemon/http.py:_do_archive_list_sessions,raw params -> partial expression compile/manual filter map -> ArchiveStore -> manual JSON,manual route code competing with SessionQuerySpec,web JSON rows/manual search envelope,origin,TargetRef/anchors,manual degraded/no-results envelopes,offset only; total page length for search; no cursor,credential policy for reads,divergent,"filter omissions, hardcoded lane, total/cursor drift",4p1.1;z9gh.9.1;yeq.3
session list/search,MCP canonical,mcp/server_tools.py search/list_sessions,typed MCP request -> SessionQuerySpec -> ArchiveStore -> archive_support payload,SessionQuerySpec plus archive_support; missing shared transaction,typed MCP JSON,origin,TargetRef/evidence payloads,typed MCP error wrapper/query diagnostics,own list/search orchestration; budget after serialization,process MCP role read,partial,canonical request/payload but duplicate execution/page,z9gh.9.1;t46.8
session list/search,MCP legacy,mcp/server_tools.py archive_list_sessions/archive_search_sessions,legacy tool -> Polylogue archive_* facade -> legacy payload,facade/store path,legacy MCP tool JSON,origin,archive ids,legacy empty/error behavior,limited offset; search total page length/no cursor,process MCP role read,duplicate,second tool and semantics owner,t46.8.2.1;z9gh.9.1
terminal query units,MCP,mcp/server_tools.py:query_units,expression -> QueryExecutionContext -> execute_archive_read -> unit payload,shared execution-control types,MCP JSON page,origin,unit target refs,typed query error,bounded executor path; still must converge with all reads,process MCP role read,aligned-direction,best existing model for shared read transaction,z9gh.1;z9gh.9.1
normalized identity,CLI/Python/daemon/MCP,shared payload/domain models,normalized store rows -> TargetRef/anchors,identity law + generated storage columns,surface-specific rendering,origin,session origin:native; message/block beneath,native ids preserved as provenance,not applicable,surface-specific,aligned,no material divergence found,2qx;2qx.1
capture identity,Browser receiver,browser_capture/models.py,extension payload -> BrowserCaptureEnvelope -> spool/raw ingest,capture schema before normalization,receiver JSON,provider,provider_session_id and provider-based capture_id; indexed_session_id later,raw/provider/capture provenance explicit,job/checkpoint paging is receiver-specific,allowed origin + optional token,legitimate,must not be collapsed into public Origin too early,06zm;gnie;jlme.5
delete session,CLI,cli/archive_query.py:_emit_delete,matched ids -> local preview/prompt -> ArchiveStore.delete_sessions,concrete store mechanics; no shared mutation transaction,MutationResultPayload,origin only in selection,archive session ids,preview/aborted/deleted local outcomes,not applicable,OS/process + interactive/force guard,divergent-authority,surface owns confirmation and execute,t46.9;kwsb.2
delete session,Python API,api/archive.py:delete_session_safe,resolve id -> ArchiveStore.delete_sessions -> DeleteSessionResult,concrete store mechanics,typed result,not applicable,resolved archive id,deleted/not_found,not applicable,caller process authority,divergent-authority,no shared preview/capability/receipt,t46.9;kwsb.2
mutation/maintenance,Daemon HTTP,daemon/http.py ingest/reset/maintenance handlers,HTTP auth/write gate -> direct concrete implementation,concrete import/maintenance/store code,HTTP ack/envelope,origin/provider depends operation,operation id/target refs,typed ack partly; follow-up defect,operation polling route,machine auth + same-origin + write gate,partial,"good edge auth, fragmented domain authority",t46.9;kwsb.2;71ey
mutation/maintenance,MCP,MCP mutation/maintenance tools,MCP role guard -> facade/planner concrete method,concrete mechanics; OperationSpec metadata not dispatcher,MCP JSON,operation-specific,archive/operation refs,tool-specific result/error,not applicable,MCP write/admin role,partial,edge role is valid; handler/preview/receipt fragmented,t46.9;kwsb.2;71ey
operation declaration,Repository/operations,operations/specs.py,catalog -> artifact/scenario/verification metadata,OperationSpec declaration only,metadata/catalog JSON,not applicable,operation name,"effects/guards declared, not enforced",not applicable,none at catalog resolution,descriptive,no production .kind dispatch or handler authority,t46.9
operation status follow-up,Daemon HTTP,POST /api/ingest ack,ImportAck -> OperationFollowUp /api/operations/{id},actual ingest registry unresolved,HTTP URL,not applicable,operation id,pending status,poll_after_ms but URL unregistered,machine mutation auth; status read credential policy,defect,advertised endpoint not registered,t46.9
status facts,Daemon,daemon/status.py,collectors -> DaemonStatus -> public payload,daemon status assembly,full/public JSON with redaction,origin where source facts are normalized,component/run/archive refs,many readiness/degraded fields,"snapshot-like, not result paging",credential/public route policy,duplicate,same facts also assembled by CLI,703
status facts,CLI,cli/commands/status.py,direct DB/filesystem probes or daemon payload -> CLI compact/full render,parallel CLI status assembly,text/JSON compact/full,mixed underlying source facts,archive/component identity,ad hoc unavailable/degraded handling,not applicable,OS/process or daemon client,duplicate,can disagree with daemon facts/frame,703
receiver status,Browser local,browser_capture receiver /v1/status,receiver config/spool probe -> BrowserCaptureReceiverStatusPayload,browser receiver,local receiver JSON,provider not central,stable receiver_id,spool readiness and path,not applicable,allowed origin + optional token,legitimate,local path exposure is within receiver boundary,jlme.5;gnie
receiver status,Daemon public projection,daemon/status.py:browser_capture_status_public_payload,receiver status -> remove spool/artifact paths -> daemon status,same receiver facts,privacy-safe daemon JSON,not applicable,receiver/component identity,redacted distinguished by projection policy,not applicable,daemon read auth,legitimate,"field omission is disclosure, not semantic recomputation",703;jlme.5
receiver errors,Browser normal routes,server.py:_safe_error,exception/validation -> BrowserCaptureErrorPayload,receiver protocol,flat safe error JSON,not applicable,receiver/schema identity,ok=false + error; no paths/stack,not applicable,origin/token edge,aligned,stable safe wrapper,jlme.5
capture-job errors,Browser capture jobs,server.py:_capture_job_error,CaptureJobError -> nested error dict,capture-job handler local code,nested error JSON,not applicable,no receiver/schema identity,code/details only,not applicable,origin/token edge,divergent,incompatible envelope in same receiver,06zm;jlme.5
